Data,Nome,Plataforma,Rate
2020.06.02,Star Wars Battlefront II,'PS4',68
2020.05.26,Call of Duty: WWII,'PS4',79
2020.05.05,Cities: Skylines,'PS4',81
2020.05.05,Farming Simulator 19,'PS4',64
2020.04.07,Uncharted 4: A Thief’s End,'PS4',93
2020.04.07,DiRT Rally 2.0,'PS4',84
2.0,Shadow of the Colossus,'PS4',91
2020.03.03,Sonic Forces,'PS4',57
2020.03.03,Bioshock: The Collection,'PS4',84
2020.02.04,The Sims 4,'PS4',66
2020.02.04,Firewall Zero Hour,'PSVR',79
2020.02.04,Uncharted: The Nathan Drake Collection,'PS4',86
2020.01.07,Goat Simulator,'PS4',58
2020.01.07,Titanfall 2,'PS4',89
2019.12.03,Monster Energy Supercross: The Game,'PS4',67
2019.12.03,Nioh,'PS4',88
2019.11.05,Outlast 2,'PS4',68
2019.11.05,The Last of Us Remastered,'PS4',95
2019.10.01,MLB The Show 19,'PS4',86
2019.10.01,Batman Arkham Knight,'PS4',87
2019.09.03,Darksiders III,'PS4',64
2019.09.03,Wipeout Omega Collection,'PS4/PSVR',85
2019.08.06,Sniper Elite 4,'PS4',77
2019.08.06,Detroit: Become Human,'PS4',78
2019.07.02,Heavy Rain*,'PS4',78
2019.07.02,Horizon Chase Turbo,'PS4',77
2019.07.02,Borderlands: The Handsome Collection,'PS4',82
2019.06.04,Sonic Mania,'PS4',86
2019.06.04,Overcooked,'PS4',78
2019.05.07,What Remains of Edith Finch,'PS4',88
2019.05.07,The Surge,'PS4',73
2019.04.02,Conan: Exiles,'PS4',68
2019.04.02,Call of Duty: Modern Warfare Remastered,'PS4',83
2019.03.05,The Witness,'PS4',87
2019.03.05,For Honor,'PS4',78
2019.02.05,Hitman: The Complete First Season,'PS4',84
2019.02.05,Metal Gear Solid 4,'PS3',94
2019.02.05,Divekick,'PS3/Vita',65
2019.02.05,Gunhouse,'PS4/Vita',TBD
2019.02.05,"PS4/</a><a href=""#psv"" rel=""nofollow"">Vita</a>",'TBD',72
2019.02.05,Rogue Aces,'PS4/Vita',71
2019.01.01,Steep,'PS4',71
2019.01.01,Portal Knights,'PS4',73
2019.01.01,Zone of the Enders HD Collection,'PS3',74
2019.01.01,Amplitude,'PS4/PS3',TBD
2019.01.01,Fallen Legion: Flames of Rebellion,'PS4/Vita',TBD
2019.01.01,"PS4/</a><a href=""#psv"" rel=""nofollow"">Vita</a>",'TBD',76
2018.12.04,Super Mutant Alien Assault,'Vita',79
2018.12.04,Vita</a>,'TBD',83
2018.12.04,ONRUSH,'PS4',TBD
2018.12.04,SOMA,'PS4',83
2018.12.04,Steins;Gate,'PS3',TBD
2018.12.04,Steredenn,'PS3',75
2018.11.06,Iconoclasts,'TBD',80
2018.11.06,"Papers, Please",'PS4/Vita',TBD
2018.11.06,Bulletstorm: Full Clip Edition,'Vita',TBD
2018.11.06,Yakuza Kiwami,'TBD',TBD
2018.11.06,The Jackbox Party Pack 2,'PS4',TBD
2018.11.06,Arkedo Series,'PS4',61
2018.10.02,Burly Men at Sea,'PS3',82
2018.10.02,Roundabout,'TBD',71
2018.10.02,Friday the 13th: The Game,'PS3',62
2018.10.02,Laser League,'TBD',TBD
2018.10.02,Knowledge is Power,'PS4/Vita',76
2018.10.02,Master Reboot,'TBD',67
2018.10.02,The Bridge,'PS4/Vita',85
2018.09.04,Read Only Memories,'TBD',81
2018.09.04,Rocketbirds 2: Evolution,'PS4',53
2018.09.04,Destiny 2,'PS4',76
2018.09.04,God of War III: Remastered,'PS4',69
2018.09.04,Another World: 20th Anniversary Edition,'PS3',66
2018.09.04,Q.U.B.E Director's Cut,'PS4/Vita',68
2018.08.07,Sparkle 2,'TBD',64
2018.08.07,Foul Play,'PS4/Vita',53
2018.08.07,Mafia III,'PS4/Vita',TBD
2018.08.07,Dead by Daylight,'PS4',69
2018.08.07,Bound by Flame,'PS4',51
2018.08.07,Serious Sam 3: BFE,'PS4/Vita',78
2018.07.03,Draw Slasher,'PS4/PS3',69
2018.07.03,Space Hulk,'PS4/Vita',72
2018.07.03,Heavy Rain,'PS4/Vita',74
2018.07.03,Absolver,'PS4',TBD
2018.07.03,Rayman 3 HD,'PS4',83
2018.07.03,Extreme Exorcism**,'PS3',81
2018.06.11,Space Overlords,'PS3',87
2018.06.05,Zero Escape: Zero Time Dilemma,'TBD',79
2018.06.05,Call of Duty: Black Ops III*,'Vita',TBD
2018.06.05,XCOM 2,'Vita',79
2018.06.05,Trials Fusion,'PS4',58
2018.06.05,Zombie Driver HD,'PS4',67
2018.06.05,Tom Clancy’s Ghost Recon: Future Soldier,'PS3',72
2018.05.01,Atomic Ninjas,'PS4/PS3',90
2018.05.01,Squares,'PS4/Vita',51
2018.05.01,Beyond: Two Souls,'TBD',65
2018.05.01,Rayman Legends,'Vita',66
2018.05.01,Risen 3: Titan Lords,'PS4',69
2018.05.01,Eat Them,'PS4',69
2018.04.03,King Oddball,'PS4',81
2018.04.03,Furmins,'PS3',54
2018.04.03,Mad Max,'TBD',57
2018.04.03,Trackmania Turbo,'PS3',61
2018.04.03,In Space We Brawl,'Vita',44
2018.04.03,Toy Home,'Vita',92
2018.03.06,Vidas,'PS4',85
2018.03.06,Q*Bert Rebooted,'PS4',TBD
2018.03.06,Bloodborne,'PS3',52
2018.03.06,Ratchet &amp; Clank,'PS3',TBD
2018.03.06,Legend of Kay Anniversary,'Vita',TBD
2018.03.06,Mighty No. 9,'Vita',54
2018.02.06,Claire: Extended Cut,'PS4',80
2018.02.06,Bombing Busters,'PS4',68
2018.02.06,Knack,'PS4/PS3',56
2018.02.06,RiME,'PS3',55
2018.02.06,Starblood Arena,'PS4/Vita',TBD
2018.02.06,Spelunker HD,'PS4/Vita',78
2018.02.06,Mugen Souls Z,'PS4',84
2018.01.02,Exiles End,'PS4',68
2018.01.02,Grand Kingdom,'PS3',68
2018.01.02,Deus Ex: Mankind Divided,'TBD',56
2018.01.02,Batman: The Telltale Series,'PS4/PS3',TBD
2018.01.02,Starblood Arena,'PS4/Vita',64
2018.01.02,Sacred 3,'TBD',52
2018.01.02,Book of Unwritten Tales 2,'PS4/Vita',72
2017.12.05,Psycho-Pass: Mandatory Happiness,'TBD',63
2017.12.05,Uncanny Valley,'PS4',79
2017.12.05,Darksiders II Deathinitive Edition,'PS4',63
2017.12.05,Kung Fu Panda: Showdown of Legendary Legends,'PSVR',78
2017.12.05,Syberia Collection,'PS3',TBD
2017.12.05,Xblaze Lost: Memories,'PS3',62
2017.11.07,Forma.8,'Vita',71
2017.11.07,Wanted Corp,'TBD',72
2017.11.07,Worms Battlegrounds,'PS4/Vita',82
2017.11.07,Bound,'PS4',68
2017.11.07,Until Dawn: Rush of Blood,'PS4',TBD
2017.11.07,R-Type Dimensions,'PSVR',67
2017.11.07,Rag Doll Kung Fu: Fists of Plastic,'PS3',93
2017.10.03,Dungeon Punks,'PS3',78
2017.10.03,Broken Sword 5: The Serpent’s Curse (Episodes 1 &amp; 2),'TBD',69
2017.10.03,Metal Gear Solid V: The Phantom Pain,'PS4/Vita',78
2017.10.03,Amnesia: Collection,'PS4/Vita',TBD
2017.10.03,That’s You!,'PS4',81
2017.10.03,RIGS: Mechanised Combat League,'PS4',77
2017.10.03,Monster Jam Battlegrounds,'PS3',72
2017.10.03,Hustle Kings,'PS3',80
2017.09.05,Hue,'PS4/Vita',75
2017.09.05,Sky Force Anniversary,'Vita',69
2017.09.05,FAMOUS: Second Son,'TBD',78
2017.09.05,Strike Vector Ex*,'PS4',TBD
2017.09.05,That’s You!,'PS4',TBD
2017.09.05,RIGS: Mechanised Combat League,'PSVR',61
2017.09.05,Truck Racer,'PS3',72
2017.09.05,Handball 2016,'PS3',73
2017.08.01,We Are Doomed,'PS4/Vita',71
2017.08.01,Hatoful Boyfriend,'TBD',69
2017.08.01,Just Cause 3,'Vita',65
2017.08.01,Assassin’s Creed: Freedom Cry,'PS4',65
2017.08.01,That’s You!,'PS4',85
2017.08.01,Super Motherload,'PS4',TBD
2017.08.01,Snake Ball,'PSVR',79
2017.07.04,Downwell,'PS3',69
2017.07.04,Level 22,'TBD',69
2017.07.04,Until Dawn,'PS3/Vita',74
2017.07.04,Game of Thrones: A Telltale Games Series,'PS4/Vita',80
2017.07.04,That’s You!,'PS4/Vita',76
2017.07.04,Tokyo Jungle,'PS4',62
2017.07.04,Darkstalkers Resurrection,'PS4',75
2017.06.06,"Don’t Die, Mr. Robot",'PS4',85
2017.06.06,Element4l,'PSVR',70
2017.06.06,Killing Floor 2,'PS3',TBD
2017.06.06,Life is Strange,'TBD',63
2017.06.06,Abyss Odyssey,'PS3',TBD
2017.06.06,WRC 5: World Rally Championship,'TBD',78
2017.05.02,Neon Chrome,'PS4/Vita',86
2017.05.02,Spy Chameleon,'PS4/Vita',TBD
2017.05.02,ABZU*,'PS4',TBD
2017.05.02,Tales from the Borderlands,'PS4',80
2017.05.02,Blood Knights,'PS4',TBD
2017.05.02,Port Royale 3: Pirates and Merchants,'PS4/PS3',54
2017.04.04,Laser Disco Defenders,'PS3',82
2017.04.04,Type:Rider,'PS4/Vita',50
2017.04.04,Drawn To Death,'Vita',TBD
2017.04.04,Lovers in a Dangerous Spacetime,'TBD',76
2017.04.04,Invizimals: The Lost Kingdom,'PS4',70
2017.04.04,Alien Rage – Extended Edition,'PS4',81
2017.03.07,Second Ninja X,'PS4',71
2017.03.07,Curses ‘N Chaos,'PS3',73
2017.03.07,Tearaway Unfolded,'PS3',80
2017.03.07,Disc Jam,'PS4/Vita',69
2017.03.07,Lumo,'Vita',82
2017.03.07,Under Night In-Birth Exe:Late,'PS4',79
2017.02.07,Earth Defense Force 2025,'PS4',74
2017.02.07,Severed,'PS3',78
2017.02.07,LittleBigPlanet 3,'PS3',N/A
2017.02.07,Not a Hero,'TBD',64
2017.02.07,Starwhal,'PS4/Vita',N/A
2017.02.07,Anna: Extended Edition,'PS4/Vita',84
2017.01.03,Ninja Senki DX,'TBD',78
2017.01.03,TorqueL,'PS4',70
2017.01.03,Day of the Tentacle Remastered,'PS4',73
2017.01.03,This War of Mine: The Little Ones,'PS3',N/A
2017.01.03,Blazerush,'TBD',73
2017.01.03,The Swindle,'PS3',73
2016.12.06,Azkend 2,'TBD',82
2016.12.06,Titan Souls,'PS4/Vita',70
2016.12.06,Stories: The Path of Destinies,'PS4/Vita',65
2016.12.06,"Invisible, Inc.",'TBD',62
2016.12.06,Hyper Void,'PS4',N/A
2016.12.06,Tiny Troopers Joint Ops,'PS4',78
2016.11.01,Color Guardians,'PS3',72
2016.11.01,VVVVVV,'PS3',87
2016.11.01,Everybody’s Gone to the Rapture,'TBD',74
2016.11.01,The Deadly Tower of Monsters,'PS4/Vita',73
2016.11.01,DiRT 3,'PS4/Vita',N/A
2016.11.01,Costume Quest 2,'PS4',83
2016.10.04,Letter Quest Remastered,'PS4',77
2016.10.04,Pumped BMX+,'PS4/Vita',71
2016.10.04,Resident Evil,'PS3',81
2016.10.04,Transformers: Devastation,'PS3',86
2016.10.04,Mad Riders,'Vita',75
2016.10.04,From Dust,'PS4/',68
2016.09.06,Code:Realize - Guardian of Rebirth,'PS4/',92
2016.09.06,Actual Sunlight,'PS4/PS3',76
2016.09.06,Lords of the Fallen,'PS3',75
2016.09.06,Journey,'N/A',57
2016.09.06,Badland,'PS4/Vita',72
2016.09.06,Prince of Persia: The Forgotten Sands,'PS4/Vita',72
2016.08.02,Datura,'N/A',64
2016.08.02,Amnesia: Memories,'PS4/Vita',83
2016.08.02,Tricky Towers,'PS4/',78
2016.08.02,Rebel Galaxy,'PS3',74
2016.08.02,Yakuza 5,'PS4/Vita',N/A
2016.08.02,Retro/Grade,'PS4/Vita',77
2016.07.05,Patapon 3,'N/A',64
2016.07.05,Ultratron,'PS4/Vita',78
2016.07.05,Furi,'PS4',65
2016.07.05,Saint's Row: Gat Out of Hell,'PS4',79
2016.07.05,Oreshika: Tainted Bloodlines,'PS4/PS3',78
2016.07.05,Prince of Persia: Revelation,'PS4/Vita',87
2016.06.07,Fat Princess,'PS4/Vita',85
2016.06.07,Call of Juarez: Bound in Blood,'Vita',57
2016.06.07,NBA 2K16,'N/A',91
2016.06.07,Gone Home,'PS4',78
2016.06.07,Little Deviants,'PS4',81
2016.06.07,God of War: Chains of Olympus,'PS3',76
2016.05.03,Siren: Blood Curse,'PS3',55
2016.05.03,Echochrome,'PS4/Vita',70
2016.05.03,Tropico 5,'PS4/Vita',86
2016.05.03,Table Top Racing: World Tour,'N/A',72
2016.05.03,Switch Galaxy Ultra,'PS4',87
2016.05.03,God of War: Ghost of Sparta,'PS4PS3',70
2016.04.05,LocoRoco Cocoreccho!,'PS3',71
2016.04.05,Bionic Commando Rearmed,'PS3',82
2016.04.05,Dead Star,'Vita',N/A
2016.04.05,Zombi,'Vita',75
2016.04.05,Shutshimi,'PS4',73
2016.04.05,A Virus named Tom,'PS4PS3',68
2016.03.01,I am Alive,'PS4Vita',82
2016.03.01,Savage Moon,'PS3',69
2016.03.01,Broforce,'PS3',54
2016.03.01,Galak-Z,'Vita',85
2016.03.01,Flame Over,'PS4',77
2016.03.01,Reality Fighters,'PS4',81
2016.02.02,Super Stardust HD,'PS3',70
2016.02.02,The Last Guy,'PS3',75
2016.02.02,Helldivers,'VitaPSP',63
2016.02.02,Nom Nom Galaxy,'PS4Vita',84
2016.02.02,Nova-111,'N/A',75
2016.02.02,Lemmings Touch,'PS4',56
2016.01.05,Persona 4 Arena Ultimax,'PS4',80
2016.01.05,Grid Autosport,'Vita',73
2016.01.05,Hardware: Rivals,'VitaPSP',N/A
2016.01.05,Grim Fandango Remastered,'PS3',87
2016.01.05,Nihilumbra,'PS3',55
2016.01.05,History Legends of War: Patton,'PS4',
2015.12.01,Dragon Age: Origins,'PS4',
2015.12.01,Medal of Honor: Warfighter,'Vita',
2015.12.01,Gauntlet: Slayer Edition,'VitaPSP',
2015.12.01,King's Quest - Chapter 1: A Knight to Remember,'PS3',
2015.12.01,Freedom Wars,'PS3',
2015.12.01,Rocketbirds: Hardboiled Chicken,'PS4',
2015.11.03,Far Cry 3: Blood Dragon,'PS4',
2015.11.03,SSX,'PS4Vita',
2015.11.03,The Walking Dead: Season 2,'VitaPSP',
2015.11.03,Magicka 2,'PS3',
2015.11.03,Mass Effect 2,'PS3',
2015.11.03,Beyond Good &amp; Evil HD,'PS4',
2015.10.06,Dragon Fin Soup,'PS4',
2015.10.06,Invizimals,'Vita',
2015.10.06,Broken Age,'Vita',
2015.10.06,Super Meat Boy,'N/A',
2015.10.06,Unmechanical Extended,'PS3',
2015.10.06,Kickbeat,'PS3',
2015.09.01,Kung Fu Rabbit,'PS4',
2015.09.01,Chariot,'PS4',
2015.09.01,Super Time Force Ultra,'Vita',
2015.09.01,Xeodrifter,'Vita',
2015.09.01,Teslagrad,'PS3',
2015.09.01,Grow Home,'PS3',
2015.08.04,La-Mulana EX,'PS4 PS3',
2015.08.04,Twisted Metal,'PS4',
2015.08.04,Lara Croft and the Temple of Osiris,'Vita',
2015.08.04,Limbo,'Vita',
2015.08.04,Sound Shapes,'PS3',
2015.08.04,Stealth Inc 2: A Game of Clones,'PS3',
2015.07.07,God of War: Ascension,'PS4',
2015.07.07,CastleStorm,'PS4 Vita',
2015.07.07,Mousecraft,'Vita',
2015.07.07,Entwined,'Vita',
2015.07.07,Rocket League,'N/A',
2015.07.07,Styx: Master of Shadows,'PS3',
2015.06.02,Geometry Wars 3: Dimensions,'PS3',
2015.06.02,Rain,'PS4',
2015.06.02,Super Exploding Zoo,'PS4',
2015.06.02,Futuridum,'Vita',
2015.06.02,Skulls of the Shogun: Bone-A-Fide Edition,'Vita',
2015.06.02,Metal Gear Solid: Ground Zeroes,'PS3',
2015.05.05,Call of Juarez: Gunslinger,'PS3',
2015.05.05,Cloudberry Kingdom,'PS4',
2015.05.05,Ether One,'PS4',
2015.05.05,Hohokum,'PS3',
2015.05.05,Guacamelee! Super Turbo Championship Edition,'PS3',
2015.05.05,The Unfinished Swan,'PS4 PS3',
2015.04.07,Race the Sun,'PSP',
2015.04.07,Murasaki Baby,'PS4 Vita',
